variable,label,question,valid_range,missing_codes,years_available,has_notes,n_value_labels
VCF0118,Respondent - Work Status 5-category,"1968-1970: 
Are you presently employed, or are you unemployed, or
retired, (a
housewife), (a student), or what?
1972-197",1-5,9,"1952, 1956, 1958, 1960, 1964, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,6
VCF0119,Head of HH - Work Status 5-category 1952-1986,"1968,1970: 
Is (the head) presently employed, or is (he/she)
unemployed, retired, (a
hosuewife), (a student), or
what?
1",1-5,9,"1952, 1956, 1958, 1960, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986",Yes,6
VCF0120,Respondent - Prestige Score S.E.I. Rank 1976-1984,Duncan S.E.I. score for R,,0;998,"1976, 1978, 1980, 1982, 1984",Yes,2
VCF0121,Head of HH - Prestige Score S.E.I. Rank 1976-1984,Duncan S.E.I. score for Head,,0;998;999,"1976, 1978, 1980, 1982, 1984",Yes,3
VCF0122,Respondent - Prestige Score NORC Rank 1976-1982,NORC Prestige score for R,,0;998,"1976, 1978, 1980, 1982",Yes,2
VCF0123,Head of HH - Prestige Score NORC Rank 1976-1982,NORC Prestige score for Head,,0;998;999,"1976, 1978, 1980, 1982",Yes,3
VCF0124,Respondent - Prestige Score S.E.S. Rank 1968-1974,Duncan S.E.S. score for R,,0;98;99,"1968, 1970, 1972, 1974",Yes,3
VCF0125,Head of HH - Prestige Score S.E.S. Rank 1968-1974,Duncan S.E.S. score for Head,,0;98;99,"1966, 1968, 1970, 1972, 1974",Yes,3
VCF0126,Father of Respondent - Occupation 5-category 1952-1996,"What kind of work did your father (SINCE 1978: [or father
surrogate])
do for a living while you were growing up?
(SINCE
",1-5,0,"1952, 1956, 1958, 1960, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1992, 1996",Yes,6
VCF0126a,Father of Respondent Occupation 8-category 1970-1976,"What kind of work did your father (SINCE 1978: [or father
surrogate])
do for a living while you were growing up?",1-8,0;9,"1970, 1972, 1974, 1976",No,10
VCF0126b,"Father of Respondent - Occupation Group 1978-1982,1996","What kind of work did your father or father surrogate do for a
living
while you were growing up?",1-15,0;98;99,"1978, 1980, 1982, 1996",Yes,18
VCF0126c,"Father of Respondent - Occupation Group 1984-1988,1992","What kind of work did your father or father surrogate do for a
living
while you were growing up? What was his main occup",1-15,0;98;99,"1984, 1986, 1988, 1992",No,18
VCF0127,Household - Union Membership,"1948: 
Does [head] belong to a labor union?
1952,1954:
Do
either you or the head of your household belong to a labor uni",1-2,0,"1948, 1952, 1956, 1958, 1960, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,3
VCF0127a,Household - Who Belongs to Union 8-category,"(1988-LATER EXC.2002: Do you or [1988: does] anyone else; 2002:
Does
anyone) in this household belong to a labor union?
",0-31,99,"1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020",Yes,9
VCF0127b,Household - Who Belongs to Union 4-category,"1952: 
Do either you or the head of your household belong to a labor
union?
Who is it that belongs?
1956 AND LATER:
(195",0-3,9,"1952, 1956, 1958, 1960, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020",Yes,5
VCF0128,Respondent - Religion Major Group,"1952-1964: Is your Church (1962: religious) preference
Protestant,
Catholic or Jewish?
1966-1968: Are you Protestant,
Ca",1-4,0,"1948, 1952, 1956, 1958, 1960, 1962, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,5
VCF0128a,Respondent - Religion 7-category 1960-1988,"1960,1964: 
Is your Church (1962: religious) preference Protestant,
Catholic or
Jewish? (IF PROTESTANT:) What church is ",1-7,9,"1960, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988",Yes,8
VCF0128b,Respondent - Religion 8-category 1990-1996,"(IF R ATTENDS RELIGIOUS SERVICES: ) Do you mostly attend a place
of
worship that is Protestant, Roman Catholic, Jewish, ",0-7,9,"1990, 1992, 1994, 1996",Yes,9
VCF0129,"Respondent - Religion Full Code 1960-1988,2002","1960,1964: 
Is your Church (1962: religious) preference Protestant,
Catholic or
Jewish? (IF PROTESTANT:) What church is ",100-800,996;998;999,"1960, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 2002",Yes,3
VCF0130,Respondent - Church Attendance 1970-,"1970-1988: (IF ANY RELIGIOUS PREFERENCE) Would you say you/do you
go
to (church/synagogue) every week, almost every week",1-7,0;8;9,"1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,9
VCF0130a,Respondent - Church Attendance 1990-,"Lots of things come up that keep people from attending
religious
services even if they want to. Thinking about your life",0-5,8;9,"1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,8
VCF0131,Respondent - Church Attendance 1952-1968,"Would you say you go to church regularly, often, seldom or never?",1-7,0;9,"1952, 1956, 1958, 1960, 1962, 1964, 1966, 1968",Yes,7
VCF0132,Respondent - Where Grew Up: State 1968-,"Where was it that you grew up? (IF UNITED STATES: ) Which state
or
states?",101-997,998;999,"1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2008",Yes,2
VCF0133,Respondent - Where Grew Up: State 1952-1966,What part of the United States did you grow up in?,101-997,998;999,"1952, 1956, 1958, 1960, 1964, 1966",Yes,2
VCF0134,"Respondent - Where Grew Up: Farm 1952-1994,2000","1952: Were you brought up mostly in the country, in a small town,
or
in a large city?
1956-1970: Were you brought up mos",1-2,8;9,"1952, 1956, 1958, 1960, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 2000",Yes,4
VCF0135,"Respondent - Where Grew Up: Large City 1952-1994,2000",Type community where R grew up (2),1-2,8;9,"1956, 1958, 1960, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 2000",Yes,4
VCF0136,Respondent - Where Grew Up: Urbanism 1956-1976,Type community where R grew up (3),1-5,9,"1956, 1958, 1960, 1964, 1966, 1968, 1970, 1972, 1974, 1976",Yes,6
VCF0137,Respondent - Where Grew Up: Urbanism 1978-2000,Type community where R grew up (4),1-8,9,"1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 2000",Yes,9
VCF0138,Number of Children in family,"1958: How many children are there under 18 years old in this family?

1960: How many children under 18 years old are the",0-3,9,"1956, 1958, 1960, 1962, 1964, 1966, 1968, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1996, 1998",Yes,10
VCF0138a,Number Children Under Age 6 in HH,Number of children age 5 or younger old in household,0-8,9,"1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1996, 1998, 2002, 2004",Yes,10
VCF0138b,Number Children Ages 6-9 in HH,Number of children 6-9 years old in household,0-8,9,"1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1996, 1998, 2002, 2004",Yes,10
VCF0138c,Number Children Ages 10-13 in HH,Number of children 10-13 years old in household,0-8,9,"1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1996, 1998, 2002, 2004",Yes,10
VCF0138d,Number Children Ages 14-17 in HH,Number of children 14-17 years old in household,0-8,9,"1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1996, 1998, 2002, 2004",Yes,10
VCF0138e,Age Youngest Child in HH,Age of youngest child in family,1-8,9,"1956, 1958, 1960, 1962, 1964, 1966, 1968",No,9
VCF0139,Respondent - How Many Children Does R Have,"1970,1974,1976,1980: Do you have any children? (IF YES:) How many?",0-8,9,"1970, 1974, 1976, 1980",Yes,10
VCF0140,Respondent - Education 6-category,"1952-1972: How many grades of school did you finish?
1974 AND LATER:
What is highest grade of school or year of college
",1-6,8;9,"1952, 1956, 1958, 1960, 1962, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,8
VCF0140a,Respondent - Education 7-category,"1952-1972: How many grades of school did you finish?
1974 AND LATER:
What is highest grade of school or year of college
",1-7,8;9,"1952, 1956, 1958, 1960, 1962, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,9
VCF0141,Head of HH - Education 6-category 1962-1986,"1952-1972: How many grades of school did (head) finish?
1974 AND
LATER: What is highest grade of school or year of colle",1-6,8;9,"1962, 1964, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986",Yes,8
VCF0142,Respondent - Place of Birth,Where were you born? (IF UNITED STATES: ) Which state?,101-997,998;999,"1952, 1956, 1958, 1960, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994",Yes,2
VCF0143,Respondent Parents - Native Born,Were both your parents born in this country?,1-5,8;9,"1952, 1960, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004, 2008, 2012, 2016, 2020, 2024",Yes,4
VCF0144,Respondent Father - Where Born,"(IF BOTH PARENTS NOT BORN IN THE U.S.: ) What country was your
father
born in?",199,998;999,"1952, 1960, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982",Yes,3
VCF0145,Respondent Mother - Where Born,"(IF BOTH PARENTS NOT BORN IN THE U.S.: ) What country was your
mother
born in?",199,998;999,"1952, 1960, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982",Yes,3
VCF0146,Respondent Family - Home Ownership,"(Do you/ Does your family) own your own home, pay rent or what?",1-2,8;9,"1952, 1964, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2016, 2020, 2024",No,4
VCF0147,Respondent - Marital Status,"1952: Are you married?
 1986: Are you married now and living with
your husband/wife– or
 are you widowed, divorced, sepa",1-7,8;9,"1952, 1956, 1958, 1960, 1962, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,8
VCF0148,Respondent - Social Class 8-category,"There’s been some talk these days about different social
classes.
Most people say they belong either to the middle class",0-7,9,"1956, 1958, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1988, 1990, 1992, 1994, 2000, 2004, 2008, 2012, 2016",Yes,9
VCF0148a,Respondent - Average or Upper Middle/Working Class,"There’s been some talk these days about different social
classes.
Most people say they belong either to the middle class",1-6,9,"1956, 1958, 1960, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 2000, 2004, 2008, 2012, 2016",Yes,7
VCF0149,Respondent - Think of Self as Member of Social Class,"There’s been some talk these days about different social
classes.
Most people say they belong either to the middle class",1-6,9,"1956, 1958, 1960, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 2000, 2004, 2008, 2012, 2016",Yes,7
VCF0150,Respondent - Work Status 16-category,"We’d like to know if you are working now, temporarily laid off, or
are
you unemployed, retired, permanently disabled, (a",10-81,99,"1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2004, 2008, 2012, 2016",Yes,17
VCF0151,Respondent - Occupation Group 5-Category,"1952-1964: 
What is your occupation. I mean, what kind of work do you
do? (IF NOT
CLEAR OR OBVIOUS [1958,1960,1964 only]",1-6,0,"1952, 1956, 1958, 1960, 1964, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2004",Yes,7
VCF0152,Respondent - Religion Full Code 1990-,"(IF R ATTENDS RELIGIOUS SERVICES: ) Do you mostly attend a place
of
worship that is Protestant, Roman Catholic, Jewish, ",10-997,998;999,"1990, 1992, 1994, 1996, 1998, 2000, 2004, 2008, 2012, 2016, 2020, 2024",Yes,138
VCF0153a,Mother of Respondent - Occupation 8-category 1970-1976,"1972-1976: Other than being a housewife, did your mother (or
mother
substitute) have a job while you were growing up?
19",1-8,0;9,"1970, 1972, 1974, 1976",No,10
VCF0153b,Mother of Respondent - Occupation Group 1978-1982,"Other than being a housewife, did your mother (or mother
substitute)
have a job while you were growing up?
(IF YES: ) Wh",1-15,0;98;99,"1978, 1980, 1982",No,18
VCF0153c,Mother of Respondent - Occupation Group 1984-1988,"Other than being a housewife, did your mother (or mother
substitute)
have a job while you were growing up?
(IF YES: ) Wh",1-15,0;98;99,"1984, 1986, 1988, 1992",No,18
VCF0154a,Respondent - Occupation 71-category,"What is/was your main occupation? (What sort of work do/did
you do?)
(1984-1986: IF NOT CLEAR: tell me a little more abo",,0,"1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2004",Yes,1
VCF0154b,Respondent - Occupation 14-category,"What is/was your main occupation? (What sort of work do/did you
do?)
(1984-1986: IF NOT CLEAR: tell me a little more abo",1-14,0,"1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2004",Yes,15
VCF0155,Respondent - Worried about Find/Losing Job,"How worried are you about losing your job/finding a job in the
near
future: a lot, somewhat, or not much at all?",1-5,0;8;9,"1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2004, 2008",Yes,6
VCF0156,Respondent - Working R Laid off Last 6 Months,"Were you out of work or laid off at any time during the last
six
months?",1-5,0;8;9,"1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2004, 2008, 2012, 2016, 2020, 2024",Yes,5
VCF0157,Respondent - Working R Hours Reduced/Cut in Pay,"During the last six months, have you had a reduction in your
work
hours or had to take a cut in pay at any time for reas",1-5,0;8;9,"1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2004, 2008, 2012, 2016",Yes,5
VCF0170a,County of IW 1956-1960,County code 1956-1960,,,"1956, 1958, 1960",Yes,0
